Spell name|School of magic|class|level|casting time|range|components|duration|notes/flavor text|higher levels|source
Blade Ward|Abjuration|Bard, Warlock, Wizard|Cantrip|1 action|Self|V, S|1 round|You extend your had and trace a sigil of warding in the air. Until the next turn, you have resistance against bludgeoning, piercing, and slashing damage delt by weapon attacks.|N/A|Player's Handbook
Resistance|Abjuration|Cleric, Druid|Cantrip|1 action|Touch|V, S, M (a miniature cloak|Concentration up to 1 minute|You touch onw willing creature. Once before the spell ends, the target can roll a d4 and add the number rolled to one saving throw of its choice. It can roll the die before or after making the saving throw. The spell then ends|N/A|Player's Handbook
Acid Splash|Conjuration|Sorcerer, Wizard|Cantrip|1 action|60 feet|V, S|Instantaneous|You hurl a bubble of acid. Choose one creature within range, or choose two creatures within range that are within 5 feet of each other. A target must succeed on a Dexterity saving throw or take 1d6 acid damage.|This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).|Player's Handbook
Create Bonfire|Conjuration|Druid, Sorcerer, Warlock, Wizard|Cantrip|1 action|60 feet|V, S|Concentration up to 1 minute|You create a bonfire on ground that you can see within range. Until the spells ends, the bonfire fills a 5-foot cube. Any creature in the bonfire's space when you cast the spell must succeed on a Dexterity saving throw or take 1d8 fire damage. A creature must also make the saving throw when it enters the bonfire's space for the first time on a turn or ends its turn there.|The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).|Elemental Evil
Mage Hand|Conjuration|Bard, Sorcerer, Warlock, Wizard|Cantrip|1 action|30 feet|V, S|1 minute|A spectral, floating hand appears at a point you choose within range. The hand lasts for the duration or until you dismiss it as an action. The hand vanishes if it is ever more than 30 feet away from you or if you cast this spell again. ~ You can use your action to control the hand. You can use the hand to manipulate an object, open an unlocked door or container, stow or retrieve an item from an open container, or pour the contents out of a vial. You can move the hand up to 30 feet each time you use it. ~ The hand can't attack, activate magic items, or carry more than 10 pounds.|N/A|Player's Handbook
Poison Spray|Conjuration|Druid, Sorcerer, Warlock, Wizard|Cantrip|1 action|10 feet|V, S|Instantaneous|You extend your hand toward a creature you can see within range and project a puff of noxious gas from your palm. The creature must succeed on a Constitution saving throw or take 1d12 poison damage.|This spell's damage increases by 1d12 when you reach 5th level (2d12), 11th level (3d12), and 17th level (4d12).|Player's Handbook
Produce Flame|Conjuration|Druid|Cantrip|1 action|Self|V, S|10 minutes|A flickering flame appears in your hand. The flame remains there for the duration and harms neither you nor your equipment. The flame sheds bright light in a 10-foot radius and dim light for an additional 10 feet.The spell ends if you dismiss it as an action or if you cast it again. ~ You can also attack with the flame, although doing so ends the spell. When you cast this spell, or as an action on a later turn, you can hurl the flame at a creature within 30 feet of you. Make a ranged spell attack. On a hit, the target takes 1d8 fire damage.|This spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).|Player's Handbook
Sword Burst|Conjuration|Sorcerer, Warlock, Wizard|Cantrip|1 action|5 feet|V|Instantaneous|You create a momentary circle of spectral blades that sweep around you. Each creature within range, other than you, must succeed on a Dexterity saving throw or take 1d6 force damage.|This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).|Sword Coast Adventurer's Guide
Guidance|Divination|Cleric, Druid|Cantrip|1 action|Touch|V, S|Concentration up to 1 minute|You touch one willing creature. Once before the spell ends, the target can roll a d4 and add the number rolled to one ability check of its choice. It can roll the die before or after making the ability check. The spell then ends.|N/A|Player's Handbook
True Strike|Divination|Bard, Sorcerer, Warlock, Wizard|Cantrip|1 action|30 feet|S|Concentration up to 1 round|You extend your hand and point a finger at a target in range. Your magic grants you a brief insight into the target's defenses. On your next turn, you gain advantage on your first attack roll against the target, provided that this spell hasn't ended.|N/A|Player's Handbook
